input_question,output_expected_steps,output_order_matters,output_reference
what is alice's email address?,"[""find_users_by_name"", ""get_user_email""]",true,alice@gmail.com
Donna is about to go outside. Does she need an umbrella?,"[""find_users_by_name"", ""get_user_location"", ""get_current_weather_for_location""]",true,yes
time in chicago,"[""find_locations_by_name"", ""get_current_time_for_location""]",true,2023-11-14 11:15 AM
What is the name of food with id 6?,"[""get_food_name""]",true,Pasta
what is eve's user id?,"[""find_users_by_name""]",true,42
Is it likely that Donna is outside with an umbrella at this time?,"[""find_users_by_name"", ""get_user_location"", ""get_current_time_for_location"", ""get_current_weather_for_location""]",false,yes
weather in LA right now?,"[""find_locations_by_name"", ""get_current_weather_for_location""]",true,"Sunny, Temperature: 75°F"
"If i eat a serving of pizza, how many calories will I consume?","[""find_foods_by_name"", ""get_food_calories""]",true,285 calories
Frank who is Even's friend is allergic to dairy. Can he eat the salad?,"[""find_users_by_name"", ""get_food_allergic_ingredients""]",true,yes
get the current user id,"[""get_current_user_id""]",true,35
find donna's favorite color,"[""find_users_by_name"", ""get_user_favorite_color""]",true,green
what is the current users favorite color and name?,"[""get_current_user_id"", ""get_user_favorite_color"", ""get_user_name""]",true,yellow and Charlie
"eve ate a serving of sushi, what allergens was she exposed to?","[""find_foods_by_name"", ""get_food_allergic_ingredients""]",true,"fish, soy"
what is the current users favorite color?,"[""get_current_user_id"", ""get_user_favorite_color""]",true,yellow
do bob and alice live in the same city?,"[""find_users_by_name"", ""get_user_location"", ""get_city_for_location"", ""get_user_location"", ""get_city_for_location""]",false,no
How many users by the name of bob?,"[""find_users_by_name""]",true,1
What is the city for location ID 1?,"[""get_city_for_location""]",true,New York
do alice and charlie use the same email provider?,"[""find_users_by_name"", ""get_user_email"", ""get_user_email""]",true,no
Is it likely that Donna is awake right now?,"[""find_users_by_name"", ""get_user_location"", ""get_current_time_for_location""]",true,yes
whats the name of the city where bob lives?,"[""find_users_by_name"", ""get_user_location"", ""get_city_for_location""]",true,Los Angeles
list the allergens in chocolate,"[""find_foods_by_name"", ""get_food_allergic_ingredients""]",true,"milk, soy"
